GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
201014A	01h23m23s +27° 42'	3	Swift	 	y	y	 	 	4.56
201013A	07h09m33s +57° 02'	3	Swift	y	y	?	 	 	 
201008A	10h46m59s +46° 06'	5	Fermi	y	y	 	 	 	 
201006AS	04h07m31s +65° 09'	3	Swift	y	y	 	 	 	 
201001A	07h20m17s -02° 13'	3	Swift	y	y	 	 	 	 
200925B	16h27m24s +78° 24'	3	Swift	 	y	y	 	 	 
200922A	19h47m40s -55° 12'	3	Swift	y	y	y	 	 	 
200919A	11h15m40s +32° 27'	3	Swift	 	 	 	 	 	 
200917A	15h43m01s -04° 42'	3	Swift	y	y	 	 	 	 
200914A	16h58m03s -36° 17'	2.6	INTEGRAL	y	 	 	 	 	 
200909B	11h40m42s -31° 11'	3	Swift	 	 	 	 	 	 
200907BS	05h56m03s +06° 55'	3	Swift	y	y	 	 	 	 
200907A	09h25m54s -01° 26'	55*24	AGILE	y	 	 	 	 	 
200906A	18h09m10s +67° 51'	3	Swift	y	y	 	 	 	 
200903D	20h51m06s -00° 36'	16*13	MAXI	 	 	 	 	 	 
200903A	10h57m15s +50° 30'	3	Swift	y	 	 	 	 	 
200901B	14h31m31s -38° 43'	3	Swift	 	y	y	 	 	 
200901A	04h07m02s -59° 53'	3	Swift	y	y	y	 	 	 
200829A	16h44m51s +72° 20'	3	Swift	y	y	y	 	 	1.25ph
200826B	10h12m42s +57° 35'	12*33	IPN	y	 	 	 	 	 
200826AS	00h27m16s +34° 02'	27*15	IPN	y	y	y	y	 	0.7481
200819A	01h25m43s +63° 03'	3	Swift	 	y	 	 	 	 
200815AS	23h46m45s -27° 48'	36*7	IPN	y	 	 	 	 	 
200809B	01h03m46s -73° 50'	4	Swift	y	y	 	 	 	 
200806A	03h31m37s +37° 05'	3	Swift	y	y	y	 	 	 
200803A	20h45m10s -63° 05'	28	Fermi	y	y	y	 	 	 
200729A	12h17m30s +45° 35'	3	Swift	y	y	 	 	 	 
200716C	13h04m03s +29° 38'	3	Swift	y	y	y	 	 	 
200716A	09h17m20s -16° 44'	78*28	Fermi	y	y	 	 	 	 
200715A	16h34m25s +51° 48'	3	INTEGRAL	 	y	 	 	 	 
200714E	13h07m28s -51° 38'	3	Fermi	y	y	 	 	 	 
200713A	05h07m51s -32° 49'	3	Swift	 	y	 	 	 	 
200711A	19h03m54s -00° 08'	3	Swift	y	y	 	 	 	 
200701A	08h14m13s -14° 30'	3	Swift	y	 	 	 	 	 
200630A	06h05m31s -60° 47'	3	Swift	y	y	 	 	 	 
200623AS	16h08m23s +51° 28'	4	Fermi	 	 	 	 	 	 
200615B	10h13m24s -04° 50'	60	MAXI	y	 	 	 	 	 
200613A	10h12m07s +45° 51'	8	Fermi	y	y	y	 	 	 
200612A	20h10m43s -45° 21'	3	Swift	y	y	y	 	 	 
200608A	20h38m31s -31° 10'	3	Swift	 	 	 	 	 	 
200605AS	06h23m21s +50° 57'	35*16	Fermi	y	 	 	 	 	 
200530A	02h08m24s +69° 14'	29	Fermi	y	 	 	 	 	 
200529A	15h55m00s -11° 03'	3	Swift	y	y	y	 	 	 
200528A	11h46m33s +58° 09'	3	Swift	y	y	 	 	 	 
200524A	14h11m00s +60° 58'	12	Fermi	y	y	y	 	 	 
200522AS	00h22m40s -00° 17'	3	Swift	 	y	y	 	 	 
200521AS	11h18m07s +07° 13'	256*17	AGILE	y	 	 	 	 	 
200519A	17h01m20s -30° 23'	3	Swift	y	y	y	 	 	 
200517A	01h08m55s -50° 45'	60	MAXI	y	y	 	 	 	 
200514A	11h19m53s +20° 08'	60	MAXI	y	 	 	 	 	 
200512A	00h29m35s -02° 12'	3	Swift	y	y	 	 	 	 
200509A	07h45m48s -04° 38'	3	Swift	 	y	y	 	 	 
200425A	05h40m58s -13° 28'	3	Swift	y	y	 	 	 	 
200424A	20h29m55s -39° 43'	3	INTEGRAL	y	y	 	 	 	 
200422A	13h05m36s -20° 15'	264*14	IPN	y	 	 	 	 	 
200416A	22h22m46s -07° 32'	3	Swift	y	y	y	 	 	 
200415AS	00h44m17s -25° 01'	35	Fermi	y	 	 	 	 	 
200412B	18h29m55s +61° 47'	30	Fermi	y	y	y	 	 	 
200412A	09h08m39s -39° 01'	53*14	Fermi	y	 	 	 	 	 
200411AS	03h10m38s -52° 19'	3	Swift	y	y	 	n	 	 
200410A	19h58m33s +51° 46'	3	Swift	 	y	y	 	 	 
200409A	04h02m13s -50° 15'	3	Swift	y	y	?	 	 	 
200405B	04h11m09s -51° 32'	4	INTEGRAL	y	 	 	 	 	 
200327AS	15h46m18s -04° 13'	216*14	Fermi	y	 	 	 	 	 
200325B	02h06m53s -31° 49'	198	Fermi	y	y	y	 	 	 
200325AS	02h06m53s -31° 49'	4	Fermi	y	 	 	 	 	 
200324A	14h50m44s +35° 58'	3	Swift	 	y	 	 	 	 
200311A	13h56m59s -50° 03'	120*21	Fermi	y	 	 	 	 	 
200306C	13h14m20s +11° 15'	3	Swift	 	y	y	 	 	 
200306A	06h44m25s -62° 00'	3	Swift	y	y	 	 	 	 
200303A	14h10m47s +51° 22'	3	Swift	y	y	 	 	 	 
200228B	16h48m06s +16° 58'	3	Swift	y	y	 	 	 	 
200228A	22h15m34s -42° 57'	3	Fermi	y	 	 	 	 	 
200227A	03h45m45s +09° 29'	3	Swift	y	y	 	 	 	 
200224A	16h35m11s +41° 41'	3	Swift	y	y	y	 	 	 
200219C	17h30m46s +10° 25'	15	Fermi	y	y	y	y	 	 
200219AS	22h50m35s -59° 06'	3	Swift	y	y	 	n	 	 
200216B	10h41m51s +19° 27'	3	Swift	y	y	 	 	 	 
200216A	20h45m45s -11° 39'	3	Fermi	y	 	 	 	 	 
200215A	02h16m29s +12° 47'	3	Swift	y	y	 	 	 	 
200205B	07h11m13s -56° 29'	3	Swift	y	y	y	 	 	1.465
